name,url,country,article_title,revision_id,quality_score
Uran Butka,https://en.wikipedia.org/wiki/Uran_Butka,Albania,Uran_Butka,1196422551,C
Refo Çapari,https://en.wikipedia.org/wiki/Refo_Çapari,Albania,Refo_Çapari,1222381064,Start
Neritan Ceka,https://en.wikipedia.org/wiki/Neritan_Ceka,Albania,Neritan_Ceka,1184807608,C
Hysni Curri,https://en.wikipedia.org/wiki/Hysni_Curri,Albania,Hysni_Curri,1198914812,Start
Ibrahim Dalliu,https://en.wikipedia.org/wiki/Ibrahim_Dalliu,Albania,Ibrahim_Dalliu,1248264998,Start
Niazi Demi,https://en.wikipedia.org/wiki/Niazi_Demi,Albania,Niazi_Demi,1209346411,Start
Abdurrahman Dibra,https://en.wikipedia.org/wiki/Abdurrahman_Dibra,Albania,Abdurrahman_Dibra,1244008227,Stub
Bujar Dida,https://en.wikipedia.org/wiki/Bujar_Dida,Albania,Bujar_Dida,1222151681,Stub
Ahmed Dino,https://en.wikipedia.org/wiki/Ahmed_Dino,Albania,Ahmed_Dino,1209165678,C
Rasih Dino,https://en.wikipedia.org/wiki/Rasih_Dino,Albania,Rasih_Dino,1180949327,C
Ferhat Bey Draga,https://en.wikipedia.org/wiki/Ferhat_Bey_Draga,Albania,Ferhat_Bey_Draga,1236738861,GA
Nexhip Draga,https://en.wikipedia.org/wiki/Nexhip_Draga,Albania,Nexhip_Draga,1236738502,Stub
Aqif Pasha Elbasani,https://en.wikipedia.org/wiki/Aqif_Pasha_Elbasani,Albania,Aqif_Pasha_Elbasani,1243882903,Start
Abas Ermenji,https://en.wikipedia.org/wiki/Abas_Ermenji,Albania,Abas_Ermenji,1240801210,GA
Qamil Musa Haxhi Feza,https://en.wikipedia.org/wiki/Qamil_Musa_Haxhi_Feza,Albania,Qamil_Musa_Haxhi_Feza,1198224146,Stub
Themistokli Gërmenji,https://en.wikipedia.org/wiki/Themistokli_Gërmenji,Albania,Themistokli_Gërmenji,1241037317,C
Sabri Godo,https://en.wikipedia.org/wiki/Sabri_Godo,Albania,Sabri_Godo,1230739582,C
Mihal Grameno,https://en.wikipedia.org/wiki/Mihal_Grameno,Albania,Mihal_Grameno,1226635783,C
